model,asset,method,DQ,p_DQ,DQ_rank
Moirai-1.1,IBGL,rolling,17.13612176213259,0.008795782687523566,6
Moirai-1.1,IBGL,gamlss,7.052296181850122,0.31603796146516205,6
Moirai-1.1,IBGL,gbm,6.6903463253083295,0.3504351917926248,6
Moirai-1.1,ICLN,Raw,6.4691868788264415,0.3727309086685016,6
Moirai-1.1,ICLN,Conformal,7.390614607766357,0.28622812630833777,6
Moirai-1.1,ICLN,Scale,7.390614607766344,0.2862281263083389,6
Moirai-1.1,ICLN,QR-Residual,5.084643111340631,0.5330038130441199,6
Moirai-1.1,ICLN,Isotonic,2.9626413687784745,0.8135209289580785,6
Moirai-1.1,ICLN,Hist-Quantile,,,5
Moirai-1.1,ICLN,aci,13.48075066945215,0.0360060189130353,6
Moirai-1.1,ICLN,rolling,5.504324930317889,0.4809341322304267,6
Moirai-1.1,ICLN,gamlss,3.2123870303212265,0.781756683113903,6
Moirai-1.1,ICLN,gbm,25.538309707482743,0.00027132872198808893,6
Moirai-1.1,NIFTY,Raw,21.380856612498714,0.0015667620196629034,6
Moirai-1.1,NIFTY,Conformal,16.217026557411142,0.012635306942326736,6
Moirai-1.1,NIFTY,Scale,21.380856612498704,0.0015667620196629106,6
Moirai-1.1,NIFTY,QR-Residual,13.75119414839367,0.0325423709510365,6
Moirai-1.1,NIFTY,Isotonic,23.412229549087094,0.0006695395630229004,6
Moirai-1.1,NIFTY,Hist-Quantile,,,5
Moirai-1.1,NIFTY,aci,22.712718711651714,0.0008986323934529906,6
Moirai-1.1,NIFTY,rolling,21.659087969928173,0.0013956845023775004,6
Moirai-1.1,NIFTY,gamlss,8.887963204914879,0.1799776768410361,6
Moirai-1.1,NIFTY,gbm,8.678745447662642,0.19246750303717383,6
Moirai-1.1,NIKKEI,Raw,17.696940178316165,0.007035913671917034,6
Moirai-1.1,NIKKEI,Conformal,17.77303278215643,0.00682514995537823,6
Moirai-1.1,NIKKEI,Scale,15.6365899669431,0.015843319143432958,6
