n_test,qV,pihat_raw,pihat_cp,p_kup_raw,p_kup_cp,QS_raw,QS_cp,TL_raw,TL_cp,dQS,model,asset,w,convergence_failures,n_fits
1873,0.0037767911093958134,0.01868659903897491,0.010678056593699947,0.0007469269671536161,0.7705010381945032,0.0004977460894534143,0.00048246597992192497,Yellow,Green,1.5280109531489296e-05,EWMA,BOVESPA,250,0,6242
1798,0.0031122765139344546,0.01946607341490545,0.01167964404894327,0.00035611892509501697,0.4856507211390939,0.000502635075316628,0.00048602931507986277,Yellow,Green,1.6605760236765245e-05,EWMA,BOVESPA,500,0,5992
1648,0.0029973812258857757,0.018810679611650484,0.010922330097087379,0.0013567562009394463,0.7107902120262584,0.0005078091276714907,0.0004934391177713822,Yellow,Green,1.4370009900108497e-05,EWMA,BOVESPA,1000,0,5492
1873,0.004412965087114463,0.011745862253069941,0.009076348104644954,0.4599274365675694,0.6831821951182482,0.0006642411218491188,0.0006601334722831371,Green,Green,4.107649565981671e-06,Hist-Sim,BOVESPA,250,0,6242
1798,0.0012870101386481952,0.012791991101223582,0.01167964404894327,0.2540409920963712,0.4856507211390939,0.0007285092144914138,0.0007256331123258201,Green,Green,2.876102165593657e-06,Hist-Sim,BOVESPA,500,0,5992
1648,0.0015567454172455975,0.009708737864077669,0.009101941747572815,0.9049479373775098,0.7098543796971613,0.0007636782943389485,0.000764415587990714,Green,Green,-7.37293651765559e-07,Hist-Sim,BOVESPA,1000,0,5492
1287,0.0030551035618693635,0.014763014763014764,0.00777000777000777,0.10876614914161875,0.40272278013069795,0.00031116269971595166,0.0003070861158882872,Green,Green,4.076583827664483e-06,GJR-GARCH,NIFTY,250,0,4288
1212,0.0030734177432718557,0.01155115511551155,0.006600660066006601,0.5963364115099681,0.2048458969703767,0.0002893644683883258,0.0002902966048483653,Green,Green,-9.321364600394866e-07,GJR-GARCH,NIFTY,500,0,4038
1062,0.002884066065103108,0.010357815442561206,0.005649717514124294,0.9072468872239143,0.12067663282322783,0.0002979874102637839,0.00030371520352680693,Green,Green,-5.727793263023053e-06,GJR-GARCH,NIFTY,1000,0,3538
1287,0.003498136846934792,0.018648018648018648,0.009324009324009324,0.005374408133540287,0.8052720585730028,0.00031980285248012414,0.00031298271678826726,Yellow,Green,6.820135691856886e-06,GARCH-N,NIFTY,250,0,4288
1212,0.0032659275255108536,0.014026402640264026,0.00825082508250825,0.18412753713229557,0.527965537229479,0.00029625264741488477,0.0002960914665549848,Green,Green,1.6118085989996018e-07,GARCH-N,NIFTY,500,0,4038
1062,0.004101759503256804,0.011299435028248588,0.006591337099811676,0.6767254715941537,0.2339233028849108,0.00030220688002097803,0.0003081445054788072,Green,Green,-5.937625457829159e-06,GARCH-N,NIFTY,1000,0,3538
1287,0.0035307390310497302,0.01554001554001554,0.010101010101010102,0.06467283633418464,0.9709958896426412,0.0003139309580034047,0.0003044523633756616,Green,Green,9.478594627743088e-06,EWMA,NIFTY,250,0,4288
1212,0.003530723041801593,0.01485148514851485,0.009075907590759076,0.11331317052613032,0.7425620783208735,0.0003009811557595806,0.00029455745285146784,Green,Green,6.423702908112767e-06,EWMA,NIFTY,500,0,4038
1062,0.004163508150419392,0.014124293785310734,0.007532956685499058,0.203425665004073,0.3981970997096629,0.00030044569205684704,0.0002984305521266293,Green,Green,2.015139930217763e-06,EWMA,NIFTY,1000,0,3538
1287,0.0030245018021237344,0.01320901320901321,0.005439005439005439,0.2701296444226774,0.07180987399051131,0.00034017090926417875,0.0003411848658623425,Green,Green,-1.013956598163758e-06,Hist-Sim,NIFTY,250,0,4288
1212,0.001252498799392248,0.005775577557755775,0.0049504950495049506,0.10845707352723666,0.05022317984112279,0.0003493893098308381,0.00035482554866800856,Green,Green,-5.436238837170466e-06,Hist-Sim,NIFTY,500,0,4038
1062,0.0015760791012381405,0.003766478342749529,0.002824858757062147,0.019345201690803226,0.005490560588284565,0.00037568439827269503,0.00038660104466061487,Green,Green,-1.0916646387919835e-05,Hist-Sim,NIFTY,1000,0,3538
1912,0.002275691324730808,0.028765690376569036,0.020397489539748955,1.8248069721948923e-11,6.169128822086645e-05,0.0003695463787467077,0.00033601533846151825,Yellow,Yellow,3.3531040285189465e-05,GJR-GARCH,ASX200,250,0,6371
1837,0.00248991667136457,0.02939575394665215,0.016875340228633642,1.2474576926990721e-11,0.007009428315007726,0.0003560250765985316,0.0003234710905232828,Yellow,Yellow,3.2553986075248796e-05,GJR-GARCH,ASX200,500,0,6121
1687,0.002515794868629233,0.03023117960877297,0.02015411973918198,1.7046031253187266e-11,0.0002295470140344369,0.0003714089839861295,0.0003346974241493676,Yellow,Yellow,3.671155983676189e-05,GJR-GARCH,ASX200,1000,0,5621
1912,0.0027927875420403897,0.027719665271966527,0.018305439330543932,1.5833856448210781e-10,0.0010733739362572825,0.0003830469304873926,0.00034427494033213593,Yellow,Yellow,3.877199015525667e-05,GARCH-N,ASX200,250,0,6371
